Coord_X,Coord_Y,label
-0.027573139616953846,1.3047398538790118,Red
-1.1733465142152313,-5.235202002988583,Blue
-6.069844482088978,-6.53187841986898,Blue
-4.204300133853518,-5.186552877563413,Blue
-2.5317020174725307,-7.172802373333907,Blue
1.1440485920479293,2.9086049002145438,Red
0.009133616367101305,4.400866014573552,Red
-1.3724222384790221,5.1845356516800924,Red
-3.109279524452383,-6.084052210834911,Blue
-1.5006077784788845,-3.9196596130154715,Blue
1.0426300600463083,1.229487951816097,Red
2.1253030776583044,4.013789198854417,Red
-5.56367185297639,-8.36306519853569,Blue
-2.5473659692439115,5.0109174415438416,Red
-3.166715904908364,-4.859641809401081,Blue
-3.3577433471656923,-8.895486844002047,Blue
-2.784453669996529,-6.11913113519871,Blue
5.491352986198756,3.988749749865044,Red
-6.376563216080255,-7.639615554016641,Blue
-3.2153354892844423,-4.56277928334319,Blue
-1.4185052144850392,-2.7227528944126895,Blue
-4.370487062672946,-6.491077136305953,Blue
0.1953777499513809,3.3325062923372837,Red
-5.720521108891604,-7.061088919876481,Blue
1.426435919582412,5.09430713340608,Red
-1.7168353965757892,5.905305732828431,Red
3.532242423072564,5.56502892401194,Red
-4.179871705033157,-10.195850885439723,Blue
-5.0667345054776165,-5.064835202080643,Blue
-2.277187863204062,2.3268840623765725,Red
2.033019764486039,2.448188510576895,Red
-3.033275878190221,-3.8584935263713405,Blue
-4.309180160014572,-4.337192386579501,Blue
0.6846097784214661,2.336366902305496,Red
-0.34163534168776066,3.2567254599939885,Red
2.8449584728290844,2.331542827885481,Red
1.0276380856073626,1.1516680053305774,Red
-0.5595998097531021,6.253806218662437,Red
1.7062726628534275,5.293399451861902,Red
-4.379044835884292,-7.238593671126398,Blue
0.20577468565899615,-6.377480836202185,Blue
2.5356344351984488,1.7694837862475987,Red
-3.1899310097161724,-8.724062123387734,Blue
0.8486976965151332,-5.934932000903152,Blue
-4.073659234166442,-3.3039763945682266,Blue
0.05310880642595617,-6.725284501571656,Blue
2.9760615840670925,5.331665647511345,Red
2.2064840056274297,0.845202394035176,Red
3.308368681320378,5.0546324561676315,Red
-7.821902488960415,-6.204963252091967,Blue
-2.5160680399364823,-6.873153802574821,Blue
2.368974590811734,5.307268028114209,Red
-4.3769657106803805,-6.134762584501299,Blue
-1.4941944140834988,-7.160498896413722,Blue
-1.3599321524707957,2.1454033065673865,Red
-4.812538978320523,-7.973334045814289,Blue
-1.2148952600666862,2.031040471375995,Red
-4.617191708716851,-7.344709536419448,Blue
-4.021345386378529,-7.995924826683644,Blue
-3.4708237982096035,-1.0523582690319602,Red
1.2728701575837835,-6.656307521685565,Blue
1.45526274778848,5.378110071192268,Red
-4.5142092393262825,-9.250389239259885,Blue
3.118733300275621,5.465559568307242,Red
2.7489944843519587,3.4330035975610267,Red
2.1972344315038432,1.5446554065748699,Red
1.0361499980218238,3.8694211037654624,Red
-7.696153328455764,-7.33341193808762,Blue
-4.895051785393381,-11.249188403227762,Blue
-3.6326534243446957,-7.044064869812358,Blue
-0.12417572290903411,-6.6807563829305225,Blue
-1.6523561427276858,2.8929633609548406,Red
-4.9695895227472695,-9.896370524390079,Blue
-6.214541299776446,-4.075998568295892,Blue
-4.820582941383281,-8.226378323722916,Blue
2.027238055433224,3.8209685503794457,Red
-1.3678435668511875,3.0097351547399063,Red
-6.169520815539401,-3.775102736188071,Blue
-0.7198297500357511,-6.7898896751465845,Blue
2.8570244907908373,3.2173370434305144,Red
-3.484466996966291,-0.14333330172206704,Red
-5.589832268149378,-6.933905504794167,Blue
-2.5015793598228124,3.666705124422135,Red
-0.08728963408812818,8.665418601663072,Red
-1.5005428729744552,4.264854063044552,Red
-6.138518860217003,-8.668729668953711,Blue
-0.6710851243581171,4.924856652917035,Red
-7.7807996488834705,-9.431409489334897,Blue
-4.637123988608101,-8.184628054506005,Blue
-3.759271039788426,-3.6237588001930527,Blue
-0.43189373661613395,-7.056740301058194,Blue
-6.623607390706484,-7.820703614142455,Blue
2.2335530838679363,0.03910075937601265,Red
-4.240456623943243,-4.3089388801052415,Blue
0.1702371239245135,1.5153487526624174,Red
-0.638634202843225,2.1646483894088586,Red
-4.208964302300139,-4.572675310038688,Blue
-6.7331656359300425,-4.01980404071739,Blue
-7.371259311140751,-4.946714219640441,Blue
-4.7378520172189535,-6.7899473608958685,Blue
-7.854056931984376,-5.559918713763016,Blue
-3.167494261691955,1.5385322854827201,Red
-5.101536034921848,-6.409772354925714,Blue
0.41312281275733465,5.792907182647397,Red
-2.8092337849793187,-4.692489778402532,Blue
-1.2191592474834665,2.1131571111452447,Red
0.2747211934154804,1.2068578837641262,Red
3.556794593659861,3.958379996719678,Red
-1.1782153048003132,6.993780108241367,Red
-3.9676285294214653,-4.269864671269259,Blue
1.5591398468661044,4.985803383140585,Red
-0.6315322422123475,3.5359152491976578,Red
-0.9119146245866401,1.094564709218963,Red
-4.748691228354691,-6.231729288783939,Blue
2.0892123953384596,4.810554265343461,Red
1.7227250382717683,4.026385301865287,Red
-1.2029632835829025,2.3263155196220797,Red
-6.632393397253113,-5.532448653042719,Blue
-7.282616210443106,-4.700409634543549,Blue
-1.1767398581058428,7.20952545746198,Red
2.5375389350642044,7.409805235094894,Red
0.1212223344171921,-9.428498382374764,Blue
-10.953900377392852,-6.736768928369328,Blue
3.366146786907858,4.121104618697144,Red
-8.141351944679865,-5.261174309011847,Blue
2.3155285274401947,1.9967513931847327,Red
-4.652933007821513,-7.50606606258197,Blue
-1.318146001089723,4.9828307448245495,Red
-3.205823659363674,-9.748672709817823,Blue
0.7041944458000344,2.3882300498153106,Red
0.7583482735117909,3.0972656141568327,Red
-2.006067737254694,-4.90539900348388,Blue
-1.1385946620150285,-5.869012997291227,Blue
2.965139654168344,2.1898130251811074,Red
1.2839965644221651,5.052363911013034,Red
6.077120701279646,3.2197759301262607,Red
-1.0410963092666687,-6.777114309092568,Blue
-5.728163355390618,-7.305088183053753,Blue
0.2450888427861776,1.6424021640285322,Red
-5.046787481054178,-7.582509314544402,Blue
3.415779008492019,4.721420715521906,Red
0.7710716834476625,3.7537593387355104,Red
-6.049500177691344,-7.094951692347101,Blue
1.8778349244507873,0.4924666252744152,Red
-1.7173370558334131,-6.415039735933525,Blue
2.4522294272337186,1.8879268871980277,Red
3.072776302869961,3.303300636285214,Red
-5.843987359598329,-7.933793734954226,Blue
-6.611458237042275,-1.9372539267539413,Blue
-2.2465495940560407,-7.6665543847396895,Blue
0.997998412412572,3.3227414036214613,Red
-1.7773123557061075,7.600482694875689,Red
-9.40048274284899,-9.11352063939351,Blue
-4.273751132252377,-5.397091863947528,Blue
-4.554167173035861,-4.134687221855845,Blue
-4.292373751825042,-7.971969315018371,Blue
3.5232700411781317,1.9587894239003636,Red
4.306005501293243,3.5447932709705308,Red
1.0148241384804138,1.8723269493770416,Red
-1.1308200821915237,-5.88972030829367,Blue
1.4881001153821667,1.7412811965967827,Red
1.3550055665708243,1.172289328171331,Red
-6.842300575982819,-7.649938308128228,Blue
-4.216462109613688,2.7940130377368453,Red
-9.703819509094352,-6.999105016715797,Blue
1.9207719486573187,6.655228304632223,Red
3.1879323112141504,6.120240889371663,Red
2.3714114245786098,4.63830541541876,Red
1.0995678472729788,3.6107842222701008,Red
-3.088492065241156,5.469567528999238,Red
-4.126898722264149,-9.514386492378165,Blue
-1.2147021747241071,-7.889475607023675,Blue
-5.333732462367214,0.34934728502185486,Blue
-4.218415682083138,-3.3807486906463278,Blue
